GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gsbatch,org.makalisio.gsbatch.core.config,CacheConfiguration,3,0,0,0,1,0,1,0,1,0
gsbatch,org.makalisio.gsbatch.core.config,YamlSourceConfigLoader,83,157,6,16,16,35,5,11,0,5
gsbatch,org.makalisio.gsbatch.core.exception,ConfigurationLoadException,5,4,0,0,2,2,1,1,1,1
gsbatch,org.makalisio.gsbatch.core.processor,GenericItemProcessorFactory,0,152,1,15,0,35,1,12,0,5
gsbatch,org.makalisio.gsbatch.core.tasklet,GenericTasklet,23,344,5,17,2,62,4,14,0,7
gsbatch,org.makalisio.gsbatch.core.model,SoapConfig,350,25,70,0,47,7,59,1,24,1
gsbatch,org.makalisio.gsbatch.core.model,SoapConfig.AuthConfig,56,9,0,0,6,3,13,1,13,1
gsbatch,org.makalisio.gsbatch.core.model,SourceConfig,96,350,12,58,9,55,27,49,15,26
gsbatch,org.makalisio.gsbatch.core.model,GenericRecord,0,187,1,25,0,51,1,29,0,17
gsbatch,org.makalisio.gsbatch.core.model,RestConfig.AuthConfig,74,9,0,0,8,3,17,1,17,1
gsbatch,org.makalisio.gsbatch.core.model,ColumnConfig,36,75,0,4,1,13,6,14,6,12
gsbatch,org.makalisio.gsbatch.core.model,RestConfig.PaginationConfig,83,24,0,0,4,8,19,1,19,1
gsbatch,org.makalisio.gsbatch.core.model,WriterConfig,22,151,4,24,1,26,7,25,3,15
gsbatch,org.makalisio.gsbatch.core.model,StepConfig,18,119,4,18,1,21,6,20,2,13
gsbatch,org.makalisio.gsbatch.core.model,RestConfig,386,34,80,0,51,8,60,1,20,1
gsbatch,org.makalisio.gsbatch.core.model,RestConfig.RetryConfig,30,18,0,0,2,4,7,1,7,1
gsbatch,org.makalisio.gsbatch.core.reader,SqlGenericItemReaderBuilder.ExplicitColumnRowMapper,39,0,2,0,12,0,3,0,2,0
gsbatch,org.makalisio.gsbatch.core.reader,SqlFileLoader.LoadedSql,0,21,0,0,0,8,0,4,0,4
gsbatch,org.makalisio.gsbatch.core.reader,GenericItemReaderFactory,0,118,0,13,0,28,0,12,0,3
gsbatch,org.makalisio.gsbatch.core.reader,SoapGenericItemReaderBuilder,99,7,2,0,18,2,4,1,3,1
gsbatch,org.makalisio.gsbatch.core.reader,SoapGenericItemReader,635,0,61,0,148,0,50,0,17,0
gsbatch,org.makalisio.gsbatch.core.reader,RestGenericItemReaderBuilder,336,7,20,0,69,2,17,1,7,1
gsbatch,org.makalisio.gsbatch.core.reader,SqlGenericItemReaderBuilder,175,4,12,0,39,1,10,1,4,1
gsbatch,org.makalisio.gsbatch.core.reader,CsvGenericItemReaderBuilder,263,4,26,0,58,1,18,1,5,1
gsbatch,org.makalisio.gsbatch.core.reader,RestGenericItemReader,1051,0,97,0,238,0,68,0,17,0
gsbatch,org.makalisio.gsbatch.core.reader,SqlFileLoader,81,479,5,19,11,76,5,22,1,14
gsbatch,org.makalisio.gsbatch.core.reader,SoapGenericItemReaderBuilder.SoapClientImpl,325,0,25,0,71,0,21,0,7,0
gsbatch,org.makalisio.gsbatch.core.reader,SqlGenericItemReaderBuilder.AutoColumnRowMapper,40,0,6,0,8,0,4,0,1,0
gsbatch,org.makalisio.gsbatch.core.reader,RestGenericItemReaderBuilder.new SimpleRetryPolicy() {...},66,0,8,0,10,0,6,0,2,0
gsbatch,org.makalisio.gsbatch.core.reader,SqlFileLoader.SqlFileException,5,4,0,0,2,2,1,1,1,1
gsbatch,org.makalisio.gsbatch.core.job,GenericIngestionJobConfig,252,0,12,0,64,0,15,0,9,0
gsbatch,org.makalisio.gsbatch.core.writer,GenericItemWriterFactory,13,292,4,22,3,56,4,19,0,10
gsbatch,org.makalisio.gsbatch.core.writer,SqlGenericItemWriter,8,176,3,9,1,34,3,8,0,5
